dagr,2011,434.98,378.0399999999999,219.93999999999997,153.94000000000003,134.0,100.0
dagr,2012,358.69999999999993,260.00000000000006,261.52,41.7,101.0,64.0
dagr,2013,481.15999999999997,324.03999999999996,269.9800000000001,177.5,98.0,64.0
dagr,2014,438.24,319.90000000000003,233.21999999999997,64.79999999999998,82.0,90.0
dagr,2015,429.1000000000001,321.69999999999993,334.0,93.89999999999999,119.0,66.0
dagr,2016,408.22,263.69999999999993,228.56000000000003,104.9,130.0,93.0
dagr,2017,311.23999999999995,355.49999999999994,196.14,65.2,108.0,93.0
brock,2011,286.97999999999996,202.50000000000006,232.9,93.8,94.0,99.0
brock,2012,423.1,277.40000000000003,318.16,122.1,61.0,101.0
brock,2013,299.30000000000007,221.85999999999999,309.59999999999997,34.599999999999994,150.0,108.0
brock,2014,368.17999999999995,283.90000000000003,271.93999999999994,74.89999999999999,90.0,134.0
brock,2015,446.56000000000006,289.5,334.7000000000001,63.000000000000014,81.0,72.0
brock,2016,431.64,338.09999999999997,174.52,60.1,104.0,76.0
brock,2017,463.2400000000002,329.6200000000001,209.79999999999998,76.49999999999999,156.0,152.0
kern,2011,496.5,363.30000000000007,244.76000000000005,96.0,116.0,97.0
kern,2012,404.79999999999995,321.3,290.18,114.7,100.0,102.0
kern,2013,437.9,330.50000000000006,169.29999999999998,113.3,120.0,81.0
kern,2014,452.4799999999999,364.80000000000007,315.22,33.400000000000006,133.0,84.0
kern,2015,491.6199999999999,306.7,237.64000000000001,93.60000000000001,99.0,107.0
kern,2016,535.54,310.3999999999999,199.6,74.3,73.0,100.0
kern,2017,529.7199999999999,193.35999999999996,178.79999999999998,72.6,96.0,66.0
klo,2011,341.78000000000003,283.62,318.09999999999997,114.19999999999999,116.0,88.0
klo,2012,409.12,259.9,314.50000000000006,52.699999999999996,64.0,106.0
klo,2013,426.8999999999999,234.4,222.28,131.9,156.0,76.8
klo,2014,403.0,160.19999999999996,371.0,93.0,111.0,92.0
klo,2015,430.05999999999995,268.80000000000007,263.38,106.7,67.0,126.0
klo,2016,559.4,299.20000000000005,263.5,130.9,97.0,98.0
klo,2017,324.64,276.91999999999996,225.00000000000003,137.70000000000002,78.0,133.0
joe,2011,447.18000000000006,309.22,240.58,59.69999999999999,77.0,104.0
joe,2012,485.03999999999996,353.70000000000005,208.19999999999996,88.7,135.0,124.0
joe,2013,418.7199999999999,330.9,307.5000000000001,71.50000000000001,112.0,103.0
joe,2014,589.54,269.90000000000003,236.70000000000002,92.5,71.0,80.0
joe,2015,438.4200000000001,264.0,227.92000000000002,172.8,78.0,96.0
joe,2016,370.26000000000005,350.09999999999997,196.29999999999998,108.29999999999998,47.0,113.0
joe,2017,465.48,243.84000000000003,196.39999999999995,44.5,56.0,80.0
mcgunn,2011,349.1799999999999,417.9000000000001,247.60000000000005,82.39999999999999,97.0,96.0
mcgunn,2012,421.41999999999996,352.30000000000007,279.6,75.5,128.0,106.0
mcgunn,2013,477.06000000000006,317.62000000000006,323.5000000000001,156.10000000000002,164.0,81.0
mcgunn,2014,390.7,331.40000000000003,399.58,122.69999999999999,55.0,108.0
mcgunn,2015,425.4,254.45999999999995,269.58000000000004,39.3,59.0,92.0
mcgunn,2016,448.41999999999996,277.59999999999997,232.1,77.0,93.0,111.0
mcgunn,2017,467.5,306.8,211.68,69.00000000000001,81.0,79.0
jared,2011,414.9200000000001,277.47999999999996,307.71999999999997,66.0,123.0,115.0
jared,2012,407.3399999999999,280.38,172.4,144.70000000000002,116.0,125.0
jared,2013,350.0,253.12000000000006,286.3999999999999,85.90000000000002,53.0,106.0
jared,2014,0,0,0,0,0,0
jared,2015,0,0,0,0,0,0
jared,2016,0,0,0,0,0,0
jared,2017,0,0,0,0,0,0
jhigh,2011,472.46000000000004,316.00000000000006,192.0,110.0,113.0,95.0
jhigh,2012,462.05999999999995,222.29999999999998,317.53999999999996,71.9,141.0,71.9
jhigh,2013,558.0400000000001,337.5,277.38,88.5,138.0,66.0
jhigh,2014,420.8599999999999,272.80000000000007,203.70000000000002,147.90000000000003,75.0,95.0
jhigh,2015,531.76,329.7,279.8,117.99999999999999,144.0,101.0
jhigh,2016,443.80000000000007,229.44000000000005,298.28,112.5,92.0,96.0
jhigh,2017,396.9599999999999,268.24,275.65999999999997,142.1,64.0,84.0
tim,2011,405.88,299.29999999999995,268.35999999999996,106.39999999999999,43.0,102.0
tim,2012,377.58,276.56,181.9,112.70000000000002,99.0,106.0
tim,2013,326.69999999999993,212.48000000000005,218.89999999999995,69.0,73.0,127.0
tim,2014,0,0,0,0,0,0
tim,2015,0,0,0,0,0,0
tim,2016,0,0,0,0,0,0
tim,2017,0,0,0,0,0,0
woody,2011,0,0,0,0,0,0
woody,2012,0,0,0,0,0,0
woody,2013,0,0,0,0,0,0
woody,2014,380.99999999999994,263.96000000000004,217.30000000000007,124.10000000000001,98.0,112.0
woody,2015,423.44,299.4,236.64,103.10000000000001,99.0,72.0
woody,2016,359.84000000000003,345.7,245.61999999999995,116.49999999999997,82.0,99.0
woody,2017,431.5199999999999,319.6000000000001,307.2,104.69999999999999,69.0,72.0
jerms,2011,0,0,0,0,0,0
jerms,2012,0,0,0,0,0,0
jerms,2013,0,0,0,0,0,0
jerms,2014,0,0,0,0,0,0
jerms,2015,0,0,0,0,0,0
jerms,2016,0,0,0,0,0,0
jerms,2017,340.6,268.2,231.2,123.9,78.0,112.0
mike,2011,0,0,0,0,0,0
mike,2012,0,0,0,0,0,0
mike,2013,0,0,0,0,0,0
